index,model_name,question,reference_answer,model_answer,error
10,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 129'a göre, devlet memurları ve diğer kamu görevlilerinin görev ve sorumluluklarının korunması için hangi şartlar sağlanmalıdır?","Anayasa madde 129, devlet memurları ve diğer kamu görevlilerinin görev ve sorumluluklarının korunması için, kamu görevlilerinin anayasaya ve kanunlara sadakatle bağlı kalmaları, halkın hizmetinde dürüstlükle çalışmaları, tarafsız davranmaları ve amirlerine itaat etmeleri şartını anayasal güvence altına alarak güvenceler sağlar.","Devlet memurlarının ve diğer kamu görevlilerinin görev ve sorumluluklarının korunması için, devletin yasalara uygun bir düzenlemeye ihtiyaç vardır. Bu düzenlemeye göre, devlet memurlarının ve diğer kamu görevlilerinin",
11,Qwen/Qwen2.5-1.5B-Instruct,Milletvekilliğinin düşmesi kararına itiraz nasıl yapılır,"Milletvekilliğinin düşmesi kararına, anayasa mahkemesi'ne bireysel başvuru yapılarak itiraz edilebilir. anayasa mahkemesi, kararın anayasal ve yasal esaslara uygunluğunu denetler.","Milletvekilliğin düşmesini reddetmek için:

1. Hükümetin milletvekili olarak kabul edilmediği bir milletvekiliye karşı bir talep yaratmak
2. Milletvekiliye karşı bir",
12,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 151, anayasa mahkemesi'ne bireysel başvuru yapma yetkisinin sınırlandırılmasını nasıl düzenler","Anayasa madde 151, anayasa mahkemesi'ne bireysel başvuru yapma yetkisinin sınırlandırılmasını, anayasa'da güvence altına alınmış temel hak ve özgürlüklerin, avrupa i̇nsan hakları sözleşmesi kapsamındaki hakların kamu gücü tarafından ihlal edildiği iddiasıyla ve olağan kanun yollarının tüketilmesinden sonra bireysel başvuru yapılma şartı ile düzenler. bu sınırlamalar, bireysel başvuru yapma yetkisini ihlal etmemeli ve ölçülülük ilkesine uygun olmalıdır. bu hüküm, bireysel başvuru yapma yetkisinin korunmasını ve sınırlamaların keyfi olmamasını sağlar.","Anayasa mahkemesi'ne bireysel başvuru yapma yetkisi sınırlanmamıştır. Bu yetki, her bir vatandaşın kendisini mahkemeye başvurması için gereklidir.

Bu soruyu daha detaylı ve",
13,Qwen/Qwen2.5-1.5B-Instruct,Beyanname nedir?,"Katma değer vergisi, mal ve hizmet teslimlerinde alınan, nihai tüketicinin ödediği dolaylı bir vergidir.","Beyanname, bir kişinin adını veya soyadını belirtmek için kullanılan bir tane. 

Bu soruyu daha detaylı ve uzunca bir şekilde açıklamak gerekirse:

1. Defterin temel amacı: Defter, bilgi tutma ve",
14,Qwen/Qwen2.5-1.5B-Instruct,İşsizlik maaşı nasıl hesaplanır?,"İşsizlik maaşı, son 4 aylık brüt kazançların ortalaması alınarak hesaplanır. brüt kazancın %40'ı oranında maaş ödenir.","İşsizlik maaşı hesaplanırken, işten çıkarılan para, işten çıkarılan para ile işten çıkarılan para ile biriktirilir. Bu tutarın %15'ini 2019 yılına göre yeni işsizlik maa",
15,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 9'a göre, yargı yetkisinin tarafsız ve bağımsız bir şekilde kullanılması nasıl sağlanır","Anayasa madde 9'a göre, yargı yetkisinin tarafsız ve bağımsız bir şekilde kullanılması, yargı organlarının karar verirken hiçbir baskı, etki veya müdahale altında kalmadan hareket etmeleri ile sağlanır. yargı organları, yargı yetkisini millet adına kullanarak adaletin tarafsız ve objektif bir şekilde sağlanmasını temin eder. bu hüküm, yargı organlarının bağımsızlığını ve tarafsızlığını güvence altına alır.","1. Anayasa madde 9'ün 3. maddesinin 2. saptanı ile ilgili
2. Anayasa madde 9'ün 4. maddesinin 2. saptanı ile ilgili",
16,Qwen/Qwen2.5-1.5B-Instruct,Kira tespit davası nedir?,"Kira tespit davası, kira bedelinin taraflar arasında anlaşmazlık konusu olması durumunda, kira bedelinin mahkeme tarafından belirlenmesi için açılan davadır.","Kira tespit davası, bir kişinin kira edilen bir mal veya maliyeti üzerindeki haklarını korumak için yürürlüğe giren bir davayı ifade eder. Bu davada, kira edilen malın veya maliyetin üzerinde",
17,Qwen/Qwen2.5-1.5B-Instruct,Şiddet mağdurları için hangi tedbirler alınabilir?,"Aile mahkemesi, şiddete yönelik söz ve davranışlarda bulunulmaması, müşterek evden uzaklaştırma gibi tedbirler alabilir.","1. Şiddet mağdurunun tutulması
2. Şiddet mağdurunun silinmesi
3. Şiddet mağdurunun koruma

Bu soruyu cevaplayarak, hangi seçeneklerin şidd",
18,Qwen/Qwen2.5-1.5B-Instruct,"Devlet, yabancı ülkelerde çalışan türk vatandaşlarının aile birliğini nasıl korur?","Devlet, yabancı ülkelerde çalışan türk vatandaşlarının aile birliğinin, çocuklarının eğitiminin, kültürel ihtiyaçlarının ve sosyal güvenliklerinin sağlanması, anavatanla bağlarının korunması ve yurda dönüşlerinde yardımcı olunması için gereken tedbirleri alır. (madde 62)","Devlet, yabancı ülkelerde yaşayan Türk vatandaşlarının aile birliğini korumak için:

1. Türk vatandaşların evlerinin yerini tutan yasaları uygular.
2. Türk vatandaşların evlerinin yerini tutan yasaları uygular.
3",
19,Qwen/Qwen2.5-1.5B-Instruct,Yerleşme hürriyetinin korunmasında devletin rolü nedir,"Devlet, yerleşme hürriyetini korumakla yükümlüdür. bu, yasal düzenlemeler yaparak, denetim mekanizmaları kurarak ve ihlalleri önleyerek gerçekleştirilir.","Devletin yerleşme hürriyetinin korunması için:

1. Yerleşim politikalarını düzenlemek
2. Yerleşim kurumlarını yönetmek
3. Yerleşim hizmetleri sunmak
4. Yerleşim",
20,Qwen/Qwen2.5-1.5B-Instruct,Özel sektörde mobbinge maruz kaldım ne yapmalıyım,Anayasa'nın 49. maddesi çalışma hakkını güvence altına alır. özel sektörde mobbinge maruz kaldıysanız işvereninize durumu bildirerek çözüm talep etmeli ve gerekirse i̇ş mahkemesi'ne başvurarak tazminat talep edebilirsiniz.,"Mobbinge karşıtı bir politika kurmak, özel sektördeki iş insanları için güvenli olmaları sağlamak, özel sektördeki iş insanlarının haklarını korumak ve özel sektördeki iş insanlarının kendi kendilerine karşı yasal olarak mücadele et",
21,Qwen/Qwen2.5-1.5B-Instruct,"Kamu iktisadi teşebbüslerinin asli ve sürekli görevleri, memurlar ve diğer kamu görevlileri eliyle yürütülmemektedir. Bu durum Anayasanın 128. Maddesi'ne uygun mudur?","Hayır, Anayasanın 128. Maddesi, kamu iktisadi teşebbüslerinin asli ve sürekli görevlerinin memurlar ve diğer kamu görevlileri eliyle yürütülmesini öngörür. Bu durum maddeye aykırıdır.","**Anayasanın 128. Maddesi**:

- **Adı**: ""İktisadi Teşebbüslerin Aslı ve Sürekliliği""
- **Nedeni**: İktisadi teşebbüslerin asli ve sürekli görev",
22,Qwen/Qwen2.5-1.5B-Instruct,"Bir televizyon dizisinde, vergi yükümlülüğünün keyfi olarak belirlenebileceği savunulmuştur. Bu durum Anayasanın 73. Maddesi ile nasıl çelişir?","Anayasanın 73. Maddesi, herkesin kamu giderlerini karşılamak üzere mali gücüne göre vergi ödemekle yükümlü olduğunu belirtir. Bu tür bir savunma bu maddeye aykırıdır.","Anayasanın 73. Maddesi, ""Televizyon ve radio programları"" bölümüne göre, vergi yükümlülüğü genellikle keyfi olarak belirlenmektedir. Ancak, bu durum televizyon dizilerinde",
23,Qwen/Qwen2.5-1.5B-Instruct,"Bir öğrenci, okulda tarih, kültür ve tabiat varlıklarının korunma hakkının herhangi bir yasal dayanak olmadan kısıtlanması gerektiğini savunmaktadır. Bu durum Anayasanın 63. Maddesi ile nasıl çelişir?","Anayasanın 63. Maddesi, devletin tarih, kültür ve tabiat varlıklarını koruma yükümlülüğüne sahip olduğunu belirtir. Bu tür bir savunma Anayasa'ya aykırıdır.","Anayasanın 63. Maddesi, ""Kültür ve tabiat varlıkları koruma"" konusuyla ilgili olan bir yasal ayırım değildir. Bu durum, Anayasanın 104. Maddesine göre karşılanır.",
24,Qwen/Qwen2.5-1.5B-Instruct,Akıl hastalığı sebebiyle boşanma nasıl açılır?,"Akıl hastalığı sebebiyle boşanma davası, eşlerden birinin akıl hastalığı olması durumunda açılır.","Akıl hastalığı sebebiyle boşanma için:

1. Akıl hastalığının nedeni olan akıllı olmayan veya yetersiz akılın belirlenmesi gerekiyor.
2. Bu akıl hastalığını tedavi",
