index,model_name,question,reference_answer,model_answer,error
10,google/gemma-2-2b-it,"Anayasa madde 129'a göre, devlet memurları ve diğer kamu görevlilerinin görev ve sorumluluklarının korunması için hangi şartlar sağlanmalıdır?","Anayasa madde 129, devlet memurları ve diğer kamu görevlilerinin görev ve sorumluluklarının korunması için, kamu görevlilerinin anayasaya ve kanunlara sadakatle bağlı kalmaları, halkın hizmetinde dürüstlükle çalışmaları, tarafsız davranmaları ve amirlerine itaat etmeleri şartını anayasal güvence altına alarak güvenceler sağlar.","Anayasa madde 129'a göre, devlet memurları ve diğer kamu görevlilerinin görev ve sorumluluklarının korunması için **devlet memurları ve diğer kamu görevlilerinin haklarının ve yükümlülüklerinin korunması** sağlanmalıdır",
11,google/gemma-2-2b-it,Milletvekilliğinin düşmesi kararına itiraz nasıl yapılır,"Milletvekilliğinin düşmesi kararına, anayasa mahkemesi'ne bireysel başvuru yapılarak itiraz edilebilir. anayasa mahkemesi, kararın anayasal ve yasal esaslara uygunluğunu denetler.","Milletvekilliğinin düşmesi kararına itiraz etmek için, **yargıya başvurmak** gerekir. 

**İtirazın yapılabilmesi için:**

* **Yasal bir yol:** Milletvekilliği düşmesi kararına itiraz etmek için",
12,google/gemma-2-2b-it,"Anayasa madde 151, anayasa mahkemesi'ne bireysel başvuru yapma yetkisinin sınırlandırılmasını nasıl düzenler","Anayasa madde 151, anayasa mahkemesi'ne bireysel başvuru yapma yetkisinin sınırlandırılmasını, anayasa'da güvence altına alınmış temel hak ve özgürlüklerin, avrupa i̇nsan hakları sözleşmesi kapsamındaki hakların kamu gücü tarafından ihlal edildiği iddiasıyla ve olağan kanun yollarının tüketilmesinden sonra bireysel başvuru yapılma şartı ile düzenler. bu sınırlamalar, bireysel başvuru yapma yetkisini ihlal etmemeli ve ölçülülük ilkesine uygun olmalıdır. bu hüküm, bireysel başvuru yapma yetkisinin korunmasını ve sınırlamaların keyfi olmamasını sağlar.","Anayasa madde 151, anayasa mahkemesi'ne bireysel başvuru yapma yetkisinin sınırlandırılmasını **Anayasa'nın 151. maddesinde belirtilen yetki sınırlandırılmasını** düzenler.",
13,google/gemma-2-2b-it,Beyanname nedir?,"Katma değer vergisi, mal ve hizmet teslimlerinde alınan, nihai tüketicinin ödediği dolaylı bir vergidir.","Beyanname, bir mahkeme tarafından tarafların anlaşmazlıkları hakkında karar verdikten sonra, tarafların bu kararın doğruluğunu ve haklarını belirlemek için tarafların tarafında bir belge olarak hazırlanır.",
14,google/gemma-2-2b-it,İşsizlik maaşı nasıl hesaplanır?,"İşsizlik maaşı, son 4 aylık brüt kazançların ortalaması alınarak hesaplanır. brüt kazancın %40'ı oranında maaş ödenir.","İşsizlik maaşı, işsizliğin süresi ve maaşınızın ortalama miktarı dikkate alınarak hesaplanır. Genellikle, işsizliğin ilk 3 ayında %80 oranında maaşınızın ortalaması üzerinden hesaplanır. Daha sonra bu",
15,google/gemma-2-2b-it,"Anayasa madde 9'a göre, yargı yetkisinin tarafsız ve bağımsız bir şekilde kullanılması nasıl sağlanır","Anayasa madde 9'a göre, yargı yetkisinin tarafsız ve bağımsız bir şekilde kullanılması, yargı organlarının karar verirken hiçbir baskı, etki veya müdahale altında kalmadan hareket etmeleri ile sağlanır. yargı organları, yargı yetkisini millet adına kullanarak adaletin tarafsız ve objektif bir şekilde sağlanmasını temin eder. bu hüküm, yargı organlarının bağımsızlığını ve tarafsızlığını güvence altına alır.","Anayasa madde 9, yargı yetkisinin tarafsız ve bağımsız bir şekilde kullanılması için **yargı kuruluşu'nun bağımsızlığı ve yargı kararlarının güvenilirliği** üzerine odaklanır. Bu, yargı",
16,google/gemma-2-2b-it,Kira tespit davası nedir?,"Kira tespit davası, kira bedelinin taraflar arasında anlaşmazlık konusu olması durumunda, kira bedelinin mahkeme tarafından belirlenmesi için açılan davadır.","Kira tespit davası, bir kiracı ve kiracı tarafından kiralanan bir malın veya işyeri için kira ödemeleri konusunda anlaşmazlıklar yaşanması durumunda, tarafların anlaşmazlıkları çözmek için açılan bir dava türüdür.",
17,google/gemma-2-2b-it,Şiddet mağdurları için hangi tedbirler alınabilir?,"Aile mahkemesi, şiddete yönelik söz ve davranışlarda bulunulmaması, müşterek evden uzaklaştırma gibi tedbirler alabilir.","Şiddet mağdurları için çeşitli tedbirler alınabilir. Bunlar arasında:

* **Psikolojik destek:** Şiddet mağdurlarına psikolojik destek sağlamak, yaşadıkları travmayı atlatmalarını ve iyileşme sürecinde",
18,google/gemma-2-2b-it,"Devlet, yabancı ülkelerde çalışan türk vatandaşlarının aile birliğini nasıl korur?","Devlet, yabancı ülkelerde çalışan türk vatandaşlarının aile birliğinin, çocuklarının eğitiminin, kültürel ihtiyaçlarının ve sosyal güvenliklerinin sağlanması, anavatanla bağlarının korunması ve yurda dönüşlerinde yardımcı olunması için gereken tedbirleri alır. (madde 62)","Devlet, yabancı ülkelerde çalışan Türk vatandaşlarının aile birliğini korurken, **yabancı ülkede bulunan Türk vatandaşının, yabancı ülkede bulunan eşinin veya eşinin ailesinin, Türk vatandaşı olarak yasal olarak aile birliğini koruyabil",
19,google/gemma-2-2b-it,Yerleşme hürriyetinin korunmasında devletin rolü nedir,"Devlet, yerleşme hürriyetini korumakla yükümlüdür. bu, yasal düzenlemeler yaparak, denetim mekanizmaları kurarak ve ihlalleri önleyerek gerçekleştirilir.","Yerleşme hürriyetinin korunması, temel haklar ve özgürlükler alanında devletin önemli bir rol oynamaktadır. Devlet, yerleşme hürriyetini korumak için aşağıdaki görevleri yerine getirmektedir:

* **Yerleşme hakkının",
20,google/gemma-2-2b-it,Özel sektörde mobbinge maruz kaldım ne yapmalıyım,Anayasa'nın 49. maddesi çalışma hakkını güvence altına alır. özel sektörde mobbinge maruz kaldıysanız işvereninize durumu bildirerek çözüm talep etmeli ve gerekirse i̇ş mahkemesi'ne başvurarak tazminat talep edebilirsiniz.,"Mobbinge maruz kalmak, özellikle özel sektörde, işyerinde meydana gelen bir sorun olarak karşımıza çıkabilir. Bu durum, hem fiziksel hem de psikolojik olarak sizi olumsuz etkileyebilir. 

**İşte size bazı öneriler:**",
21,google/gemma-2-2b-it,"Kamu iktisadi teşebbüslerinin asli ve sürekli görevleri, memurlar ve diğer kamu görevlileri eliyle yürütülmemektedir. Bu durum Anayasanın 128. Maddesi'ne uygun mudur?","Hayır, Anayasanın 128. Maddesi, kamu iktisadi teşebbüslerinin asli ve sürekli görevlerinin memurlar ve diğer kamu görevlileri eliyle yürütülmesini öngörür. Bu durum maddeye aykırıdır.","**Evet, Anayasanın 128. Maddesi'ne uyguntur.**

**Açıklama:**

Anayasanın 128. Maddesi, kamu iktisadi teşebbüslerinin asli ve sürekli görevlerini yürütmekle yükümlü olduğunu",
22,google/gemma-2-2b-it,"Bir televizyon dizisinde, vergi yükümlülüğünün keyfi olarak belirlenebileceği savunulmuştur. Bu durum Anayasanın 73. Maddesi ile nasıl çelişir?","Anayasanın 73. Maddesi, herkesin kamu giderlerini karşılamak üzere mali gücüne göre vergi ödemekle yükümlü olduğunu belirtir. Bu tür bir savunma bu maddeye aykırıdır.","Anayasanın 73. maddesi, vergi yükümlülüğünün adil ve eşit şekilde dağıtılmasını gerektirir. Bu nedenle, vergi yükümlülüğünün keyfi olarak belirlenmesi, Anayasanın 73. maddes",
23,google/gemma-2-2b-it,"Bir öğrenci, okulda tarih, kültür ve tabiat varlıklarının korunma hakkının herhangi bir yasal dayanak olmadan kısıtlanması gerektiğini savunmaktadır. Bu durum Anayasanın 63. Maddesi ile nasıl çelişir?","Anayasanın 63. Maddesi, devletin tarih, kültür ve tabiat varlıklarını koruma yükümlülüğüne sahip olduğunu belirtir. Bu tür bir savunma Anayasa'ya aykırıdır.","Anayasanın 63. maddesi, ""Her vatandaşın doğasına uygun olarak, yaşam hakkını ve yaşamın bütün yönlerini koruyabileceği"" bir hak tanımaktadır. Bu hak, öğrencinin tarih, kültür ve tabiat varlıklarının korunması için bir",
24,google/gemma-2-2b-it,Akıl hastalığı sebebiyle boşanma nasıl açılır?,"Akıl hastalığı sebebiyle boşanma davası, eşlerden birinin akıl hastalığı olması durumunda açılır.","Akıl hastalığı sebebiyle boşanma, **hukuki olarak mümkün değildir**. 

**Açıklama:**

* Akıl hastalığı, bireyin zihinsel sağlığını olumsuz etkileyen bir durumdur. 
* Bu durum, bireyin kendi karar",
