index,question,reference_answer,qwen_baseline_answer,qwen_baseline_error,llama_baseline_answer,llama_baseline_error,llama_finetuned_answer,llama_finetuned_error,notes
500,"Sanık, bir otelde müşterilerin odalarını gizlice video kaydı yaparak, videoları üçüncü şahıslara sızdırırsa, hangi suçlamalar gündeme gelir?","Sanık, otelde müşterilerin odalarını gizlice video kaydı yaparak, videoları üçüncü şahıslara sızdırırsa, 'özel hayatın gizliliğini ihlal', 'izinsiz gözetleme' ve 'gizli kayıt yapma' suçlarıyla karşılaşabilir. Bu suçlar, hapis cezası ve/veya para cezası ile sonuçlanabilir ve mağdurların zararının tazmini gerekebilir.","Bu durumda, sanık, müşteri odalarını gizlice video kaydı yaparak, bu videoları üçüncü kişilerle paylaşmak veya sızdırması, genellikle ""gizli video izleme"" veya ""gizli video paylaşımı"" suçları altında olur.

Ancak, bu tür suçluların belirlenmesi ve yasalara uygun olarak yönetilmesi genellikle devletin kontrol",,"Bu durum, sızdırma ve gizli kamera kurma suçu olarak sınıflandırılır.",,"Sanık, otelde müşterilerin odalarını gizli video kaydı yaparak, videoları üçüncü şahıslara sızdırırsa, 'özel hayatın gizliliğini ihlal', 'izinsiz gözetleme' ve 'veri hırsızlığı' suçlarıyla karşılaşabilir. Bu suçlar, hapis cezası ve/veya para cezası ile sonuçlanabilir ve mağdurların tazminat hakkı doğabilir.",,
550,Medeni kanun'a göre mirasçılık belgesi (veraset ilamı) nedir ve nasıl alınır?,"İşveren, çalışanların sağlığını ve güvenliğini korumak amacıyla iş sağlığı ve güvenliği önlemlerini almak, risk değerlendirmesi yapmak ve çalışanlara eğitim vermekle yükümlüdür. i̇şveren, işyerinde iş sağlığı ve güvenliği kurallarına uygun ortam sağlamak, gerekli ekipmanları temin etmek ve iş kazalarını önlemek için gerekli tedbirleri almak zorundadır. i̇ş sağlığı ve güvenliği konusundaki ihlaller işverene idari ve hukuki sorumluluklar doğurabilir.","Mirasçılık belgesi, medeni kanunlarına göre bir kişi tarafından başka bir kişiye verilen mirasçılık belgesi veya belgeyi almak için gereken şartları ve adımlarıdır. Bu belgenin oluşturulması, belgelerin doğrulanması ve belgelerin geçerliliği üzerindeki öneme sahip olabilir.

Belgenin oluşturulması:

1. Mirasçılık belgesinin",,"Mereni, mirasçılık belgesi (veraset ilamı) bir belge, mirasçıların mirasın veraset ilamına göre payını alabilmesi için yetkilendirme ve belgelendirmesidir. Bu belge, mirasçıların mir",,"Veraset ilamı, mirasçıların kimler olduğunu ve miras paylarını belirten resmi belgedir. mirasçılar, sulh hukuk mahkemesine başvurarak veraset ilamı talep edebilir. mahkeme, başvuruyu inceleyerek ilamın düzenlenmesine karar verir.",,
600,Kvk kurulunun çalışma usul ve esasları hangi belgeyle düzenlenir?,Kvk kurulunun çalışma usul ve esasları ile kararların yazımı ve diğer hususlar yönetmelikle düzenlenir. (kvkk md.23/f.7),KVK (Kanunve Kalkınma Kurumu) kurulunun çalışma usulü ve esasları Kanunve Kalkınma Kanunu (KKK) belgesine göre düzenlenir.,,"KVK kurulu working usul ve esasları, KVK Kanunu'nun 8. maddesinde düzenlenmiştir.",,Kvk kurulunun çalışma usul ve esasları ile kararların yazımı ve diğer hususlar yönetmelikle düzenlenir. (kvkk md.15/f.3),,
650,Anayasanın 76. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.,"Anayasanın 76. Maddesi, 1982 yılında Yürürlüğe Giren.",,"Anayasanın 76. maddesi, 7 Aralık 1982'de yürürlüğe girmiştir.",,7 Kasım 1982'de yürürlüğe girmiştir.,,
700,Kamulaştırma bedelini almak için ne tür bir hukuki destek alabilirim?,"Kamulaştırma bedelini almak için hukuki destek olarak bir avukattan danışmanlık alabilir, bedelin ödenmesi veya itiraz edilmesi konusunda yardım alabilirsiniz.","Kamulaştırma bedeli almak için en uygun hukuki destek, genellikle ""kamulaştırma bedelini almak için ne tür bir hukuki destek alabilirim?"" şeklinde bir soru olabilir.

Bu sorunun doğru cev",,"Kamulaştırma bedelini almak için, kamu kuruluşlarından destek alabilirsiniz.",,"Kamulaştırma bedelini almak için, bir avukattan hukuki destek alabilir ve kamulaştırma davası açabilirsiniz. avukatınız, davanızın nasıl yürütülmesini ve en iyi şekilde sunulmasını sağlayacaktır.",,
750,Yerel yönetimlerin bağımsızlığı nasıl sağlanır,"Yerel yönetimlerin bağımsızlığı, anayasa ve yasalarla güvence altına alınmıştır. yerel yönetimler, yerel halkın iradesine göre faaliyet gösterir ve yerel meclisler tarafından yönetilir.","Yerel yönetimlerin bağımsızlığını sağlamak için şu adımları uygulayabiliriz:

1. Yerel yönetim kurumlarının doğrudan hükümete bağlı olmaması:
   - Hükümetin kontrol altına alınması
   -",,"Yerel yönetimlerin bağımsızlığı, yerel yönetimlerin kendi yetkileri, sorumlulukları ve kaynakları ile yerel yönetimlerin kendi yönetimine ve idareye sahip olmasını ifade eder. Bu, yerel yönetimlerin yerel sorunlara ve needsine daha iyi şekilde yanıt vermelerine",,"Yerel yönetimlerin bağımsızlığı, anayasa ve yasalarla güvence altına alınmıştır. bağımsız ve yetkili yerel yönetimler, kamu hizmetlerini etkin ve verimli bir şekilde yürütmekle yükümlüdürler.",,
800,Kira tespit davası nasıl açılır?,"Kira tespit davası, kira bedelinin belirlenmesi için taraflar arasında anlaşmazlık olduğunda sulh hukuk mahkemesine başvurularak açılır.","Kira tespit davası, bir kişinin kira edilen eşya veya malın durumu hakkında şüpheleri ortaya koyan bir davada bulunur. Bu davayı açmak için aşağıdaki adımları izleyebilirsiniz:

1. Kira",,"Kira tespit davası, bir kira sözleşmesinin ihlal edildiği ve kira sahibinin kira bedelini alamaması nedeniyle açılan bir dava türüdür. Kira tespit davası açmak için aşağıdaki adımları takip edebilirsiniz:

1. Kira sözleş",,"Kira tespit davası, kira bedellerinin belirlenmesi için taraflar arasında yapılan anlaşmanın yetersiz bulunması durumunda açılır. dava, kira bedellerinin adil ve uygun bir şekilde belirlenmesini talep eder.",,
850,Anayasanın 40. Maddesi Nasıl Uygulanır?,Hak arama hürriyetinin korunması ve bu hakkın ihlal edilmemesiyle uygulanır.,"Anayasanın 40. Maddesi, ""Kendini Kaldırmak"" veya ""Kendini Kaldırdığını Unutmak"" ifadesiyle anılır. Bu maddi bir kavramdır ve genellikle şu şekilde u",,"Anayasanın 40. maddesi, Anayasanın kabulünden sonra, Anayasal bir kuruluşun kurulması ve Anayasal bir kuruluşun işleyişine ilişkin usul ve esaslar ile Anayasal kuruluşların işleyişine ilişkin",,Anayasa ile tanınmış hak ve hürriyetlerin korunması ve bu hakların ihlal edilmemesiyle uygulanır.,,
900,Boşanma kararının kesinleşmesi için ne gereklidir?,Gerekçeli kararın taraflara tebliğ edilip temyiz edilmemesi gerekir.,"Boşanma kararının kesinleşmesi için aşağıdaki gereksinimler bulunmaktadır:

1. Boşanma kararının tamamlanması gerekiyor.

2. Boşanma kararının temsilciler tarafından kabul edilmesi gereki",,Boşanma kararının kesinleşmesi için boşanma davası ile ilgili mahkeme kararının kesinleşmesi gerekir.,,Taraflara tebliğ edilen gerekçeli kararın temyiz edilmemesi gerekir.,,
950,"Anayasa madde 58, gençliğin korunması hakkının korunması için hangi güvenceler sağlar","Anayasa madde 58, gençliğin korunması hakkının korunması için, gençlerin gelişmelerini, milli kültür içinde yetişmelerini ve zararlı alışkanlıklardan korunmalarını anayasal güvence altına alarak güvenceler sağlar. bu hüküm, gençliğin korunmasını ve sağlıklı gelişimlerini güvence altına alır. devlet, gençliğin korunmasını sağlamak için gerekli tedbirleri almak zorundadır.","Anayasa Madde 58, gençliğin korunması hakkının korunması için belirli bir güvence sağlar. Bu güvene ""geliştirme hakkı"" denir. Bu, gençlerin kendilerine özgü yasalara ve kurall",,"Anayasa madde 58, gençliğin korunması için以下 güvenceleri sağlar:

- Gençlerin eğitim ve kültür alanlarında gelişmelerine destek
- Gençlerin sosyal ve ekonomik durumlarındaki gelişmelerine destek
- Gençlerin siyasi ve toplumsal hayatta yer",,"Anayasa madde 58, gençliğin korunması hakkının korunması için, devletin gençleri alkolü ve uyuşturucu maddelerden uzak tutmak, kötü alışkanlıklardan korumak ve milli kültür ve sağlık kurallarına uygun olarak yaşama teşvik etmek için gerekli tedbirleri alacağını düzenler. bu hüküm, gençliğin korunmasını ve gelişimini güvence altına alır. devlet, gençliğin korunmasını sağlamak için gerekli tedbirleri",,
1000,Bir iş kazasında zarar gördüm. i̇şverenden tazminat talep edebilir miyim?,İş kazası tazminat talebi için işverene karşı dava açabilirsiniz. i̇ş kazası nedeniyle haklarınızı yasal yollardan arayabilirsiniz.,"Evet, iş kazası sırasında zarar gördüğünüzde, iş verenin veya iş verenlerin tazminat talebi alabilirsiniz. Bu tür talepler genellikle bir iş kazası için özel olarak değerlendirilebilir. Ancak,",,"Evet, iş kazası durumunda işvereninizden tazminat talebinizi isteyebilirsiniz.",,"Evet, iş kazasında zarar gördüyseniz, işverenden maddi ve manevi tazminat talep edebilirsiniz. i̇ş kazası nedeniyle işverenden tazminat davası açarak, zararlarınızın karşılanmasını talep edebilirsiniz.",,
1050,"Anayasa madde 33'e göre, dernek kurma hürriyetinin sınırlandırılmasında hangi ilkeler gözetilir","Anayasa madde 33'e göre, dernek kurma hürriyetinin sınırlandırılmasında kanunilik, demokratik toplum düzeninin gereklerine uygunluk ve ölçülülük ilkeleri gözetilir. sınırlamalar, milli güvenlik, kamu düzeni, genel sağlık ve genel ahlak gibi sebeplerle yapılabilir.","Anayasa Madde 33'ünde, dernek kurma hürriyetinin sınırlandırılmasında aşağıdaki ilkelerin gözlemlenmiştir:

1. Hükümetin kontrolü: Dernek kurma hürriyeti, hükümetin kontrol altına alın",,"Anayasa madde 33'e göre, dernek kurma hürriyetinin sınırlandırılması, kamu menfaatleri, kamu güvenliği, kamu sağlığı, kamu refahı, kamu huzuru, kamu ahlakı, kamu ahlakı ve kamu ahl",,"Anayasa madde 33'e göre, dernek kurma hürriyetinin sınırlandırılmasında kanunilik, demokratik toplum düzeninin gereklerine uygunluk ve ölçülülük ilkeleri gözetilir. bu sınırlamalar, ancak milli güvenlik, kamu düzeni, genel sağlık ve genel ahlak gibi sebeplerle yapılabilir.",,
1100,"Anayasa Mahkemesi Başkan ve Başkanvekili, üyeler arasından açık oyla seçilebilir mi?","Hayır, Anayasa Mahkemesi Başkanı ve Başkanvekili, üyeler arasından gizli oyla seçilir. Bu durum Anayasanın 146. Maddesi'ne aykırıdır.","Evet, Anayasa Mahkemesi Başkan ve Başkanvekili üyeleri arasında açık oya ile seçilebilir. Bu tür bir seçme yolu genellikle seçimlerdeki biraz daha etkinlik ve katılımcı sayısına sahiptir",,"Hayır, Anayasa Mahkemesi Başkan ve Başkanvekili, üyeler arasından açık oyla seçilemez.",,"Hayır, Anayasa Mahkemesi Başkan ve Başkanvekili, üyeler arasından gizli oyla seçilir.",,
1150,Devletin milletvekilliğinin sona erme durumlarıyla ilgili yükümlülüğü nedir?,Milletvekilliğinin sona erme durumlarını düzenlemek ve uygulamakla yükümlüdür.,"Devletin milletvekilliği sona ermesi durumuna ilişkin yükümlülük, devletin milletvekilliği sona ermesen sonra devletin yönetimi ve işlerinin devam etmelerine izin vermektedir. Bu",,"Devletin milletvekilliğinin sona erme durumlarından biri, milletvekilliğin sonuna kadar sürenin bitmesi, milletvekilliğin iptali, milletvekilliğin iptal edilişinin ardından milletvekilliğin yeniden seçilmes",,Milletvekilliğinin sona erme durumlarını düzenlemek ve bu durumların gerçekleşmesiyle ilgili düzenlemeler yapmakla yükümlüdür.,,
1200,Milletvekili seçilme yeterliliği için sağlık şartı var mıdır,"Milletvekili seçilme yeterliliği için belirli bir sağlık şartı bulunmamaktadır. ancak, milletvekili adaylarının görevlerini yerine getirebilmeleri için genel sağlık durumlarının uygun olması beklenir.","Evet, milletvekili seçilme yeterliliği için sağlık şartı vardır. Bu şartlar genellikle şu şekildedir:

1. Sağlık durumu: Milletvekili seçilebilmesi için gerekli olan en temel şart, sağlık",,"Hayır, milletvekili seçilme yeterliliği için sağlık şartı yoktur.",,"Milletvekili seçilme yeterliliği için sağlık şartı yoktur, ancak milletvekilleri görevlerini yaparken sağlık durumlarının uygun olmasını sağlamaya yönelik gerekli önlemleri almak zorundadırlar.",,
1250,Kvk kurulunun çalışma usul ve esasları hangi belgeyle belirlenir?,Kvk kurulunun çalışma usul ve esasları ile kararların yazımı ve diğer hususlar yönetmelikle düzenlenir. (kvkk md.23/f.7),KVK (Kredi Kartı Verimliliği) kurulunun çalışma usulü ve esasları KDV (Kredi Verimlilik Verileri) Kanunuyla belirlenir.,,"KVK kurulu working usul ve esasları, KVK Kanunu'nun 7. maddesinde belirlenir.",,Kvk kurulunun çalışma usul ve esasları ile kararların yazımı ve diğer hususlar yönetmelikle düzenlenir. (kvkk md.15/f.3),,
1300,Bir konut projesine yatırım yaptım ve müteahhit sözleşme şartlarını yerine getirmiyor. Ne yapmalıyım?,"Müteahhit sözleşme şartlarını yerine getirmiyorsa, ihtarname çekerek yükümlülüklerin yerine getirilmesini talep edebilirsiniz. Gerekirse, mahkemeye başvurarak tazminat talep edebilir veya sözleşmeyi feshedebilirsiniz.","Bu durumda, bir müteahhit sözleşme şartını yerine getirmeyen bir konut projesindeki bir yatırım yapıcısının en iyi yolculuğunda:

1. İhtiyacınızın yerine getirilemediği için, bu kon",,"Konut projesine yatırım yaptığınızda, müteahhit sözleşme şartlarını yerine getirmemesi durumunda, aşağıdaki adımları takip edebilirsiniz:

1. Müteahhitle görüşme: Müteahhitle direct olarak görüşme yaparak, sözleşme şartlarını",,"Konut projesine yatırım yaptığınızda ve müteahhit sözleşme şartlarını yerine getirmiyorsa, müteahhit aleyhine tazminat davası açabilir ve sözleşmeyi ihlal eden müteahhitin yerine getirilmesini talep edebilirsiniz. Ayrıca, projenin yapımında hukuka aykırı işlemler nedeniyle idari yargıya başvurabilirsiniz.",,
1350,Anayasanın 103. Maddesiyle İlgili Tartışmalar Nelerdir?,Cumhurbaşkanının ant içme zorunluluğunun sınırları ve uygulanması üzerine tartışmalar olabilir.,"Anayasanın 103. Maddesi, ""Tartışma"" veya ""Yargı"" adını taşıyan bir hukuki maddi türüdür. Bu maddi, belirli bir konuda tartışmaya giren iki tarafın arasında",,"Anayasanın 103. maddesi, kamuoyuoyunda ve kamuoyuoyunda ortaya çıkan ve kamuoyuoyunda tartışılan konularda, cumhurbaşkanı, cumhurbaşkanı tarafından atanan ve görevde olan bakanlar, cumhurbaşkanı tarafından",,Cumhurbaşkanının görev ve yetkilerinin sınırları ve uygulanması üzerine tartışmalar olabilir.,,
1400,Cumhurbaşkanı yardımcıları ve bakanlar hakkında yüce divan yargılaması nasıl yapılır?,"Yüce divan yargılaması üç ay içinde tamamlanır, bu sürede tamamlanamazsa bir defaya mahsus olmak üzere üç aylık ek süre verilir, yargılama bu sürede kesin olarak tamamlanır. (madde 106)","Cumhurbaşkanı yardımcıları ve bakanlar hakkında yüce divan yargılaması, Türkiye Cumhuriyeti'nin meclis sisteminde önemli bir kurul olan Yüksek Divanın (YD) tarafından gerçekleştirilir.

1. **Yüksek Divan**: Bu kurum,",,"Cumhurbaşkanı yardımcıları ve bakanlar hakkında yüce divan yargılaması, yargılamayı gerçekleştiren yargı organı tarafından, cumhurbaşkanı yardımcıları ve bakanların yargılamaları için özel",,"Yüce divan, cumhurbaşkanı yardımcıları, bakanlar, yüksek yargı organlarının başkanı, yüksek yargı üyeleri, askeri yargı organlarının başkanı, askeri yargı üyeleri, cumhurbaşkanının ve bakanların yargılandığı mahkemedir. (madde 104)",,
1450,"Anayasa madde 103'e göre, cumhurbaşkanının yemin etme sürecinin sınırlandırılmasında hangi ilkeler gözetilir","Anayasa madde 103'e göre, cumhurbaşkanının yemin etme sürecinin sınırlandırılmasında kanunilik, demokratik toplum düzeninin gereklerine uygunluk ve ölçülülük ilkeleri gözetilir. bu sınırlamalar, yemin etme sürecini ihlal etmemeli ve cumhurbaşkanının anayasal sorumluluklarını kısıtlamamalıdır.","Anayasa Madde 103'ünde, cumhurbaşkanının yemin etme sürecinin sınırlandırılmasında şu ilkelerin gizlenmiştir:

1. Yemin etme sürecinin tamamı devletin yönetimi altında olmalıdır.

2.",,"Anayasa Muhakemeleri Kanunu'nun 103. maddesine göre cumhurbaşkanı yemin etme sürecinde, cumhurbaşkanı, cumhurbaşkanlığı görevini bir yearbaşı ve bir sonuna kadar sürdürme yetkisi, cumhurbaşkanı tarafından yemin",,"Anayasa madde 103'e göre, cumhurbaşkanının yemin etme sürecinin sınırlandırılmasında kanunilik, demokratik toplum düzeninin gereklerine uygunluk ve ölçülülük ilkeleri gözetilir. bu sınırlamalar, yemin etme sürecini ihlal etmemeli ve cumhurbaşkanının anayasal yükümlülüklerini yerine getirmesini kısıtlamamalıdır.",,
