index,model_name,question,reference_answer,model_answer,error
10,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 129'a göre, devlet memurları ve diğer kamu görevlilerinin görev ve sorumluluklarının korunması için hangi şartlar sağlanmalıdır?","Anayasa madde 129, devlet memurları ve diğer kamu görevlilerinin görev ve sorumluluklarının korunması için, kamu görevlilerinin anayasaya ve kanunlara sadakatle bağlı kalmaları, halkın hizmetinde dürüstlükle çalışmaları, tarafsız davranmaları ve amirlerine itaat etmeleri şartını anayasal güvence altına alarak güvenceler sağlar.","Devlet memurlarının ve diğer kamu görevlilerinin görev ve sorumluluklarının korunması için, devletin yasalara uygun bir düzenlemeye ihtiyaç vardır. Bu düzenlemeye göre, devlet memurlarının ve diğer kamu görevlilerinin",
11,Qwen/Qwen2.5-1.5B-Instruct,Milletvekilliğinin düşmesi kararına itiraz nasıl yapılır,"Milletvekilliğinin düşmesi kararına, anayasa mahkemesi'ne bireysel başvuru yapılarak itiraz edilebilir. anayasa mahkemesi, kararın anayasal ve yasal esaslara uygunluğunu denetler.","Milletvekilliğin düşmesini reddetmek için:

1. Hükümetin milletvekili olarak kabul edilmediği bir milletvekiliye karşı bir talep yaratmak
2. Milletvekiliye karşı bir",
12,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 151, anayasa mahkemesi'ne bireysel başvuru yapma yetkisinin sınırlandırılmasını nasıl düzenler","Anayasa madde 151, anayasa mahkemesi'ne bireysel başvuru yapma yetkisinin sınırlandırılmasını, anayasa'da güvence altına alınmış temel hak ve özgürlüklerin, avrupa i̇nsan hakları sözleşmesi kapsamındaki hakların kamu gücü tarafından ihlal edildiği iddiasıyla ve olağan kanun yollarının tüketilmesinden sonra bireysel başvuru yapılma şartı ile düzenler. bu sınırlamalar, bireysel başvuru yapma yetkisini ihlal etmemeli ve ölçülülük ilkesine uygun olmalıdır. bu hüküm, bireysel başvuru yapma yetkisinin korunmasını ve sınırlamaların keyfi olmamasını sağlar.","Anayasa mahkemesi'ne bireysel başvuru yapma yetkisi sınırlanmamıştır. Bu yetki, her bir vatandaşın kendisini mahkemeye başvurması için gereklidir.

Bu soruyu daha detaylı ve",
13,Qwen/Qwen2.5-1.5B-Instruct,Beyanname nedir?,"Katma değer vergisi, mal ve hizmet teslimlerinde alınan, nihai tüketicinin ödediği dolaylı bir vergidir.","Beyanname, bir kişinin adını veya soyadını belirtmek için kullanılan bir tane. 

Bu soruyu daha detaylı ve uzunca bir şekilde açıklamak gerekirse:

1. Defterin temel amacı: Defter, bilgi tutma ve",
14,Qwen/Qwen2.5-1.5B-Instruct,İşsizlik maaşı nasıl hesaplanır?,"İşsizlik maaşı, son 4 aylık brüt kazançların ortalaması alınarak hesaplanır. brüt kazancın %40'ı oranında maaş ödenir.","İşsizlik maaşı hesaplanırken, işten çıkarılan para, işten çıkarılan para ile işten çıkarılan para ile biriktirilir. Bu tutarın %15'ini 2019 yılına göre yeni işsizlik maa",
15,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 9'a göre, yargı yetkisinin tarafsız ve bağımsız bir şekilde kullanılması nasıl sağlanır","Anayasa madde 9'a göre, yargı yetkisinin tarafsız ve bağımsız bir şekilde kullanılması, yargı organlarının karar verirken hiçbir baskı, etki veya müdahale altında kalmadan hareket etmeleri ile sağlanır. yargı organları, yargı yetkisini millet adına kullanarak adaletin tarafsız ve objektif bir şekilde sağlanmasını temin eder. bu hüküm, yargı organlarının bağımsızlığını ve tarafsızlığını güvence altına alır.","1. Anayasa madde 9'ün 3. maddesinin 2. saptanı ile ilgili
2. Anayasa madde 9'ün 4. maddesinin 2. saptanı ile ilgili",
16,Qwen/Qwen2.5-1.5B-Instruct,Kira tespit davası nedir?,"Kira tespit davası, kira bedelinin taraflar arasında anlaşmazlık konusu olması durumunda, kira bedelinin mahkeme tarafından belirlenmesi için açılan davadır.","Kira tespit davası, bir kişinin kira edilen bir mal veya maliyeti üzerindeki haklarını korumak için yürürlüğe giren bir davayı ifade eder. Bu davada, kira edilen malın veya maliyetin üzerinde",
17,Qwen/Qwen2.5-1.5B-Instruct,Şiddet mağdurları için hangi tedbirler alınabilir?,"Aile mahkemesi, şiddete yönelik söz ve davranışlarda bulunulmaması, müşterek evden uzaklaştırma gibi tedbirler alabilir.","1. Şiddet mağdurunun tutulması
2. Şiddet mağdurunun silinmesi
3. Şiddet mağdurunun koruma

Bu soruyu cevaplayarak, hangi seçeneklerin şidd",
18,Qwen/Qwen2.5-1.5B-Instruct,"Devlet, yabancı ülkelerde çalışan türk vatandaşlarının aile birliğini nasıl korur?","Devlet, yabancı ülkelerde çalışan türk vatandaşlarının aile birliğinin, çocuklarının eğitiminin, kültürel ihtiyaçlarının ve sosyal güvenliklerinin sağlanması, anavatanla bağlarının korunması ve yurda dönüşlerinde yardımcı olunması için gereken tedbirleri alır. (madde 62)","Devlet, yabancı ülkelerde yaşayan Türk vatandaşlarının aile birliğini korumak için:

1. Türk vatandaşların evlerinin yerini tutan yasaları uygular.
2. Türk vatandaşların evlerinin yerini tutan yasaları uygular.
3",
19,Qwen/Qwen2.5-1.5B-Instruct,Yerleşme hürriyetinin korunmasında devletin rolü nedir,"Devlet, yerleşme hürriyetini korumakla yükümlüdür. bu, yasal düzenlemeler yaparak, denetim mekanizmaları kurarak ve ihlalleri önleyerek gerçekleştirilir.","Devletin yerleşme hürriyetinin korunması için:

1. Yerleşim politikalarını düzenlemek
2. Yerleşim kurumlarını yönetmek
3. Yerleşim hizmetleri sunmak
4. Yerleşim",
20,Qwen/Qwen2.5-1.5B-Instruct,Özel sektörde mobbinge maruz kaldım ne yapmalıyım,Anayasa'nın 49. maddesi çalışma hakkını güvence altına alır. özel sektörde mobbinge maruz kaldıysanız işvereninize durumu bildirerek çözüm talep etmeli ve gerekirse i̇ş mahkemesi'ne başvurarak tazminat talep edebilirsiniz.,"Mobbinge karşıtı bir politika kurmak, özel sektördeki iş insanları için güvenli olmaları sağlamak, özel sektördeki iş insanlarının haklarını korumak ve özel sektördeki iş insanlarının kendi kendilerine karşı yasal olarak mücadele et",
21,Qwen/Qwen2.5-1.5B-Instruct,"Kamu iktisadi teşebbüslerinin asli ve sürekli görevleri, memurlar ve diğer kamu görevlileri eliyle yürütülmemektedir. Bu durum Anayasanın 128. Maddesi'ne uygun mudur?","Hayır, Anayasanın 128. Maddesi, kamu iktisadi teşebbüslerinin asli ve sürekli görevlerinin memurlar ve diğer kamu görevlileri eliyle yürütülmesini öngörür. Bu durum maddeye aykırıdır.","**Anayasanın 128. Maddesi**:

- **Adı**: ""İktisadi Teşebbüslerin Aslı ve Sürekliliği""
- **Nedeni**: İktisadi teşebbüslerin asli ve sürekli görev",
22,Qwen/Qwen2.5-1.5B-Instruct,"Bir televizyon dizisinde, vergi yükümlülüğünün keyfi olarak belirlenebileceği savunulmuştur. Bu durum Anayasanın 73. Maddesi ile nasıl çelişir?","Anayasanın 73. Maddesi, herkesin kamu giderlerini karşılamak üzere mali gücüne göre vergi ödemekle yükümlü olduğunu belirtir. Bu tür bir savunma bu maddeye aykırıdır.","Anayasanın 73. Maddesi, ""Televizyon ve radio programları"" bölümüne göre, vergi yükümlülüğü genellikle keyfi olarak belirlenmektedir. Ancak, bu durum televizyon dizilerinde",
23,Qwen/Qwen2.5-1.5B-Instruct,"Bir öğrenci, okulda tarih, kültür ve tabiat varlıklarının korunma hakkının herhangi bir yasal dayanak olmadan kısıtlanması gerektiğini savunmaktadır. Bu durum Anayasanın 63. Maddesi ile nasıl çelişir?","Anayasanın 63. Maddesi, devletin tarih, kültür ve tabiat varlıklarını koruma yükümlülüğüne sahip olduğunu belirtir. Bu tür bir savunma Anayasa'ya aykırıdır.","Anayasanın 63. Maddesi, ""Kültür ve tabiat varlıkları koruma"" konusuyla ilgili olan bir yasal ayırım değildir. Bu durum, Anayasanın 104. Maddesine göre karşılanır.",
24,Qwen/Qwen2.5-1.5B-Instruct,Akıl hastalığı sebebiyle boşanma nasıl açılır?,"Akıl hastalığı sebebiyle boşanma davası, eşlerden birinin akıl hastalığı olması durumunda açılır.","Akıl hastalığı sebebiyle boşanma için:

1. Akıl hastalığının nedeni olan akıllı olmayan veya yetersiz akılın belirlenmesi gerekiyor.
2. Bu akıl hastalığını tedavi",
25,Qwen/Qwen2.5-1.5B-Instruct,Kooperatiften Çıkma ve Ödemeleri Geri Alma Süreci Nasıl İşler?,"Her Ortağın Kooperatiften Çıkma Hakkı Vardır. Çıkış, Ancak Bir Hesap Senesi Sonu İçin ve En Az 6 Ay Önceden Haber Verilerek Yapılır. Haklı ve Önemli Sebeplerin Varlığı Halinde Kooperatiften Çıkabilir ve Ödediklerinizi İsteyebilirsiniz.","Kooperatiften Çıkma ve Ödemeleri Geri Alma Süreci, genellikle bir işbirliği kurumu veya kooperatifi tarafından gerçekleştirilir. Bu süreçte, kooperatif üyeleri arasında anlaşmazlıkların çözülmesi, anlaşmaz",
26,Qwen/Qwen2.5-1.5B-Instruct,Kamu kurumu niteliğindeki meslek kuruluşlarının eğitim faaliyetleri nelerdir,"Kamu kurumu niteliğindeki meslek kuruluşları, meslek mensuplarına yönelik seminerler, kurslar, sertifika programları ve eğitim faaliyetleri düzenler. bu faaliyetler, mesleki bilgi ve becerilerin artırılmasını hedefler.","1. Eğitim faaliyetlerinin genel niteliği
2. Eğitim faaliyetlerinin özel niteliği
3. Eğitim faaliyetlerinin temel niteliği
4. Eğitim faaliyetlerinin öznel niteliği

Cevabınız",
27,Qwen/Qwen2.5-1.5B-Instruct,İşkence yasağı nedir?,"İnsan hakları, insanın sırf insan olduğu için sahip olduğu temel hak ve özgürlüklerdir.","İşkence yasadışı bir durum olup, işkence yasası, insanlar için güvenli bir ortamı oluşturmak amacıyla kurulmuştur. İşkence yasadışı bir durum olup, işkence yasası, insanlar için güvenli bir",
28,Qwen/Qwen2.5-1.5B-Instruct,Hüküm nedir?,"İdari yargı, idarenin işlemlerine karşı açılan davaların görüldüğü yargı koludur.","1. Hükümetin emri
2. Hükümetin emriyle ilgili bir yasa veya mevzuat
3. Hükümetin emriyle ilgili bir yasa veya mevzuatın belirttiği bir y",
29,Qwen/Qwen2.5-1.5B-Instruct,Bilgi edinme ve kamu denetçisine başvurma hakkı hangi durumları kapsar?,"Herkes, bilgi edinme ve kamu denetçisine başvurma hakkına sahiptir. (madde 74)","1. Sosyal güvenlik
2. Hükümetin işleri
3. Sosyal güvenlik ve kamu denetçisine başvurmak için gereken diğer durumlara
4. Sosyal güvenlik ve kamu denetçisine başvurmak için gere",
30,Qwen/Qwen2.5-1.5B-Instruct,"Sanık, bir spor organizasyonunda kurallara aykırı olarak doping yapıp diğer sporculara haksız avantaj sağlarsa, hangi suçlamalar gündeme gelir?","Sanık, spor organizasyonunda kurallara aykırı olarak doping yapıp diğer sporculara haksız avantaj sağlarsa, 'doping kural ihlali', 'spor etik kurallarını ihlal' ve 'haksız rekabet' suçlarıyla karşılaşabilir. Bu suçlar, disiplin cezaları ve/veya adli cezalarla sonuçlanabilir ve mağdurların zararının tazmini gerekebilir.","Doping suçları

Bu soruyla ilgili aşağıdaki bilgilere bakınız:

1. Sanık, bir spor organizasyonunda kurallara aykırı olarak doping yapıp diğer sporculara haksız avantaj sağlarsa, bu durumda sanık",
31,Qwen/Qwen2.5-1.5B-Instruct,Evlatlık ile biyolojik çocuklar arasındaki miras hakkı farkları nelerdir?,"Evlatlık, biyolojik çocuklar gibi mirasçıdır ve aynı haklara sahiptir. ancak evlatlığın biyolojik ailesi ile olan mirasçılık ilişkisi kesilir.","Evlatlık ile biyolojik çocuklar arasındaki miras hakkı farkları, evlatların doğanın (biyolojik) evlatlarına karşı olan bir hak. Bu hak, evlatların doğanın (biyolojik) evlatına karşı yapılan",
32,Qwen/Qwen2.5-1.5B-Instruct,"Bir milletvekili, parlamentoda dernek kurma hakkının herhangi bir yasal dayanak olmadan kısıtlanabileceğini savunmaktadır. Bu durum Anayasanın 32. Maddesi ile nasıl çelişir?","Anayasanın 32. Maddesi, herkesin önceden izin almaksızın dernek kurma hakkına sahip olduğunu belirtir. Bu tür bir savunma bu maddeye aykırıdır.","Anayasanın 32. Maddesi, milletvekiliye ""parlamento hakları"" hakkını verirken, bu hakları sınırlamak için ""yasa dışı"" bir yasal dayanak gerektirir.

Bu soruyu cev",
33,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 136'ya göre, diyanet i̇şleri başkanlığı'nın kuruluşu ve görevlerinin sınırlandırılması hangi koşullarda yapılabilir","Anayasa madde 136'ya göre, diyanet i̇şleri başkanlığı'nın kuruluşu ve görevlerinin sınırlandırılması, sadece genel idare içinde yer alma, laiklik ilkesi doğrultusunda çalışma, siyasi görüş ve düşüncelerin dışında kalma ve milletçe dayanışma ve bütünleşmeyi amaç edinme şartı ile yapılabilir. bu sınırlamalar, başkanlığın özerkliğini ihlal etmemeli ve ölçülülük ilkesine uygun olmalıdır.","Diyanet İşleri Başkanlığı'nin kuruluşu ve görevlere sınırların ayarlanması, Anayasa Madde 136'ye göre, şu koşullara sahiptir:

- Diyanet İşleri Başkanlığı'nin kuruluşu, İslam dininin",
34,Qwen/Qwen2.5-1.5B-Instruct,Anayasanın 143. Maddesi Nedir?,"Anayasanın 143. maddesi, devlet güvenlik mahkemelerine ilişkin hükümleri içerir.","Anayasanın 143. Maddesi ""Kesinlikle Hükümetin Yeteriyle Çalışması"" adlı bir maddedir. Bu maddenin amacı, hükümetin yeteriyle çalışması için gereken koşulları belirt",
35,Qwen/Qwen2.5-1.5B-Instruct,Hangi tür bilgiler özel nitelikli kişisel veri olarak kabul edilir?,"Irkı, etnik kökeni, siyasi düşüncesi, felsefi inancı, dini, mezhebi, diğer inançları, kılık ve kıyafeti, dernek, vakıf ya da sendika üyeliği, sağlığı, cinsel hayatı, ceza mahkumiyeti ve güvenlik tedbirleriyle ilgili verileri ile biyometrik ve genetik bilgiler.","1. Sosyal Bilgi
2. Eğitim Bilgisi
3. Sağlık Bilgisi
4. Diğer

Bu sorunun doğru cevabı hangisidir? Soruyla ilgili bilgiye bakarak cevabınızı belirtin.
Ö",
36,Qwen/Qwen2.5-1.5B-Instruct,Tbmm başkanlık divanında kimler bulunur?,"Türkiye büyük millet meclisinin başkanlık divanı, meclis üyeleri arasından seçilen meclis başkanı, başkanvekilleri, katip üyeler ve i̇dare amirlerinden oluşur. (madde 94)","1. Sıradan vatandaşlar
2. TBM'de görev yapmış kişiler
3. TBM'de görev yapmamış kişiler

Bu sorunun doğru cevabı hangisidir? Soruyla ilgili bilgiye bakarak cev",
37,Qwen/Qwen2.5-1.5B-Instruct,Kvk kurulu üyeleri hangi durumlarda görevden alınır?,"Seçilmek için gereken şartları taşımadıklarının sonradan anlaşılması, görevleriyle ilgili olarak işledikleri suçlardan dolayı haklarında verilen mahkumiyet kararının kesinleşmesi, görevlerini yerine getiremeyeceklerinin sağlık kurulu raporuyla kesin olarak tespit edilmesi, görevlerine izinsiz, mazeretsiz ve kesintisiz olarak on beş gün ya da bir yılda toplam otuz gün süreyle devam etmediklerinin tespit edilmesi, bir ay içinde izinsiz ve mazeretsiz olarak toplam üç, bir yıl içinde toplam on kurul toplantısına katılmadıklarının tespit edilmesi hallerinde kvk kurulu kararıyla üyelikleri sona erer. (kvkk md.21/f.13)","1. Kötü bir durumda
2. Hükümetin kararına dayanarak
3. Sınav sonucunda
4. Kullanıcıdan istenir

Yorumlar:

1. Soru: ""Kvk kurulu üyeleri hangi",
38,Qwen/Qwen2.5-1.5B-Instruct,"Bir üniversite profesörü, dersinde sağlıklı ve dengeli bir çevrede yaşama hakkının keyfi olarak kısıtlanabileceğini savunmuştur. Bu durum Anayasanın 56. Maddesi ile nasıl çelişir?","Anayasanın 56. Maddesi, herkesin sağlıklı ve dengeli bir çevrede yaşama hakkına sahip olduğunu belirtir. Bu tür bir savunma bu maddeye aykırıdır.","Anayasanın 56. Maddesi, ""Kurumsal ve özel yetkililerin haklarını koruma"" konusuyla ilgili değildir. Bu durum, Anayasanın 104. Maddesine aittir. 104.",
39,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 73, vergi ödevi yükümlülüğünün ihlali durumunda ne tür hukuki mekanizmalar devreye girer","Anayasa madde 73'e göre, vergi ödevi yükümlülüğünün ihlali durumunda, vatandaşların hukuki yollara başvurarak haklarını arama ve ihlallerin giderilmesini talep etme hakkı vardır. devlet, vergi ödevi yükümlülüğünü korumak ve ihlallerin engellenmesini sağlamakla yükümlüdür.","İhliyetin sona ermesi durumunda, vergi ödevi yükümlülüğü için yasal bir hukuk mekanizması yoktur. Ancak, bu durumu koruma amaçlı, vergi ödevi yüküml",
40,Qwen/Qwen2.5-1.5B-Instruct,Eğitim ve öğrenim hakkının ihlali durumunda başvuru yolları nelerdir,"Eğitim ve öğrenim hakkının ihlali durumunda bireyler ulusal yargı mercilerine başvurabilir, eğitim kurumlarına şikayette bulunabilir ve uluslararası insan hakları mekanizmalarına müracaat edebilir.","Eğitim ve öğrenim hakkının ihlali durumunda başvuru yolları:

1. Eğitim Hakkı Mücadelesi (EHM): EHM, eğitim ve öğrenme hakkını ihlal eden kişinin haklarını koruyan bir mahkeme kurumudır. Bu mah",
41,Qwen/Qwen2.5-1.5B-Instruct,Arsamızın yol genişletilmesi nedeniyle 50 m²'lik bir kısmı kamulaştırılacak. yeni arsa ölçülerinden dolayı yapacağımız ev daha küçük olacak. kazanılmış hakkımızı kaybeder miyiz?,"Evet, kamulaştırma nedeniyle değer kaybı meydana geliyorsa, bunun tazmini için mahkeme bilirkişiler belirleme yapacaktır. i̇darece önerilen bedeli kabul etmemeli ve bedel tespit davası açmalısınız.","Hayır, kazanılmış hakkımızı kaybetmedik.

Bu soruyla ilgili belirli bir hukuki kanun veya yasayı vurgulayabiliriz. Soruyu tam olarak anlayarak cevaplayın.
Bu soruda, yeni ar",
42,Qwen/Qwen2.5-1.5B-Instruct,Tahrik nedir?,"Tahrik, bir kişinin aklının ve iradesinin bir suç işlemekten ciddi bir şekilde etkilenmesi sonucu, işlediği suçun cezasının hafifletilmesine neden olabilen bir durumdur.","Tahrik, bir ülkenin ekonomik durumunun belirlenmesi için kullanılan bir yöntemdir. Bu yöntem, ülkenin ekonomik durumu hakkında bilgi edinebilir ve belirsizlikleri çözümler. Tahrik, ek",
43,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 68'e göre, siyasi partiler kurma hakkının sınırlandırılması hangi koşullarda yapılabilir","Anayasa madde 68'e göre, siyasi partiler kurma hakkının sınırlandırılması, ancak kanunla ve demokratik toplum düzeninin gereklerine uygun olarak yapılabilir. bu sınırlamalar, bu hakkı ihlal etmemeli ve ölçülülük ilkesine uygun olmalıdır.","1) Siyasi partilerin kurulması için bir parti veya daha fazlası mevcut olmalıdır.
2) Siyasi partilerin kurulması için bir parti veya daha fazlası mevcut olmamalıdır.
3) Siyasi part",
44,Qwen/Qwen2.5-1.5B-Instruct,Anayasanın 84. Maddesiyle İlgili Tartışmalar Nelerdir?,Milletvekilliğinin düşme sebepleri ve süreçlerinin sınırları ve uygulanması üzerine tartışmalar olabilir.,"Anayasanın 84. Maddesi ile tartışılmak üzere yapılan görüşmeler, genellikle:

a) Hükümetin veya hükümetin temsilcilerinin görüşmesi olur.
b) İnsan hakları konusundan bahsediyor.",
45,Qwen/Qwen2.5-1.5B-Instruct,Dedemden kalan malın paylaşımı hakkında sorun yaşıyoruz. ne yapmalıyız?,"Miras paylaşımı konusunda zorlanıyorsanız, miras hukukunda uzman bir avukattan profesyonel yardım almanız yararlı olacaktır.","1) Malı verenin evine gidebiliriz.
2) Malı verenin evine gidebiliriz.
3) Malı verenin evine gidebiliriz.
4) Malı verenin evine gidebiliriz",
46,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 101, cumhurbaşkanının seçilme koşullarının sınırlandırılmasını nasıl düzenler","Anayasa madde 101, cumhurbaşkanının seçilme koşullarının sınırlandırılmasını, kırk yaşını doldurmuş, yükseköğrenim yapmış, milletvekili seçilme yeterliliğine sahip türkiye cumhuriyeti vatandaşı olma şartı ile düzenler. bu sınırlamalar, cumhurbaşkanının seçilme koşullarını ihlal etmemeli ve ölçülülük ilkesine uygun olmalıdır. bu hüküm, cumhurbaşkanının seçilme koşullarının korunmasını ve sınırlamaların keyfi olmamasını sağlar.","Anayasa madde 101, cumhurbaşkanının seçilme koşullarının sınırlandırılmasını düzenlemektedir. Bu anlayış, cumhurbaşkanının seçimi için genel bir kurumun (yani cumhuriyet",
47,Qwen/Qwen2.5-1.5B-Instruct,TBMM'nin Bilgi Edinme ve Denetim Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,98. maddede.,"1. Sosyal Hukuk
2. Sivil Hukuk
3. Uluslararası Hukuk
4. İş Hukuku

Bu soru, TBMM'nin bilgi edinme ve denetim yetkisini belirleyen an",
48,Qwen/Qwen2.5-1.5B-Instruct,"Tüketici, satın aldığı ayıplı mal için hangi haklara sahiptir?","6502 sayılı Tüketicinin Korunması Hakkında Kanun'a göre, tüketici, satın aldığı ayıplı mal için ücretsiz onarım, malın değiştirilmesi, bedel indirimi veya bedel iadesi talep edebilir. Yargıtay içtihatları, tüketicinin bu haklarını kullanabilmesi için ayıbın varlığını ispatlaması gerektiğini vurgular.","1. Hükümetin emriye göre
2. Tüketiciye ait
3. Müşteriye ait

Bu sorunun doğru cevabı:

3. Müşteriye ait

Çözümü açıklamak g",
